 A one-man musical phenomenon | Jacob Collier
 Why I risked my life to expose a government massacre | Anjan Sundaram
 What it's like to be a woman in Hollywood | Naomi McDougall Jones
 A pro wrestler's guide to confidence | Mike Kinney
 A human-robot dance duet | Huang Yi & KUKA
 The powerful stories that shaped Africa | Gus Casely-Hayford
 A precise
 Portraits that transform people into whatever they want to be | Uldus Bakhtiozina
 The new age of corporate monopolies | Margrethe Vestager
 We can hack our immune cells to fight cancer | Elizabeth Wayne
 How we can end sexual harassment at work | Gretchen Carlson
 What's hidden under the Greenland ice sheet? | Kristin Poinar
 The forgotten art of the zoetrope | Eric Dyer
 Why jobs of the future won't feel like work | David Lee
 How I became an entrepreneur at 66 | Paul Tasner
 Electrical experiments with plants that count and communicate | Greg Gage
 How Africa can use its traditional knowledge to make progress | Chika Ezeanya-Esiobu
 How to seek truth in the era of fake news | Christiane Amanpour
 The revolutionary power of diverse thought | Elif Shafak
 A global food crisis may be less than a decade away | Sara Menker
 Don't suffer from your depression in silence | Nikki Webber Allen
 Mind-blowing
 The magic of Khmer classical dance | Prumsodun Ok
 How LIGO discovered gravitational waves (with English subtitles) | Gabriela GonzÃ¡lez
 Lessons from the longest study on human development | Helen Pearson
 What I learned as a prisoner in North Korea | Euna Lee
 3 fears about screen time for kids -- and why they're not true | Sara DeWitt
 The warmth and wisdom of mud buildings | Anna Heringer
 Future tech will give you the benefits of city life anywhere | Julio Gil
 Why people of different faiths are painting their houses of worship yellow | Nabila Alibhai
 The fascinating secret lives of giant clams | Mei Lin Neo
 The boost students need to overcome obstacles | Anindya Kundu
 How a video game might help us build better cities | Karoliina Korppoo
 A black man goes undercover in the alt-right | Theo E.J. Wilson
 What intelligent machines can learn from a school of fish | Radhika Nagpal
 The most Martian place on Earth | Armando Azua-Bustos
 What we're missing in the debate about immigration | Duarte Geraldino
 Why Africa must become a center of knowledge again
 How digital DNA could help you make better health choices | Jun Wang
 Living sculptures that stand for history's truths | Sethembile Msezane
 The fascinating physics of everyday life | Helen Czerski
 The real reason manufacturing jobs are disappearing | Augie Picado
 A forgotten ancient grain that could help Africa prosper | Pierre Thiam
 What really motivates people to be honest in business | Alexander Wagner
 There's more to life than being happy | Emily Esfahani Smith
 How our friendship survives our opposing politics | Caitlin Quattromani and Lauran Arledge
 Who belongs in a city? | OluTimehin Adegbeye
 What it feels like to see Earth from space | Benjamin Grant
 Would you live in a floating city in the sky? (with English subtitles) | TomÃ¡s Saraceno
 A smog vacuum cleaner and other magical city designs | Daan Roosegaarde
 How young people join violent extremist groups -- and how to stop them | Erin Marie Saltman
 Dare to refuse the origin myths that claim who you are | Chetan Bhatt
 How your pictures can help reclaim lost history | Chance Coughenour
 How the US government spies on people who protest -- including you | Jennifer Granick
 Can a robot pass a university entrance exam? | Noriko Arai
 Why we need to end the era of orphanages | Tara Winkler
 Fun
 When workers own companies
 "The Sacred Art of the Ori" | Laolu Senbanjo
 What the sugar coating on your cells is trying to tell you | Carolyn Bertozzi
 What would happen if we upload our brains to computers? | Robin Hanson
 A lyrical bridge between past
 What moral decisions should driverless cars make? | Iyad Rahwan
 The era of blind faith in big data must end | Cathy O'Neil
 How to build a company where the best ideas win | Ray Dalio
 How I found myself through music | Anika Paulson
 The secret to living longer may be your social life | Susan Pinker
 A practical way to help the homeless find work and safety | Richard J. Berry
 7 principles for building better cities | Peter Calthorpe
 How artists can (finally) get paid in the digital age | Jack Conte
 How I help free innocent people from prison | Ronald Sullivan
 How boredom can lead to your most brilliant ideas | Manoush Zomorodi
 Courage is contagious | Damon Davis
 Meet the microscopic life in your home -- and on your face | Anne Madden
 A dance to honor Mother Earth | Jon Boogz and Lil Buck
 Let's end ageism | Ashton Applewhite
 How your brain decides what is beautiful | Anjan Chatterjee
 How AI can enhance our memory
 How computers learn to recognize objects instantly | Joseph Redmon
 The stories behind The New Yorker's iconic covers | FranÃ§oise Mouly
 What six years in captivity taught me about fear and faith (English subtitles) | Ingrid Betancourt
 Can art amend history? | Titus Kaphar
 Meet Spot
 Why I still have hope for coral reefs | Kristen Marhaver
 You owe it to yourself to experience a total solar eclipse | David Baron
 You smell with your body
 A simple new blood test that can catch cancer early | Jimmy Lin
 How cohousing can make us happier (and live longer) | Grace Kim
 Hamilton vs. Madison and the birth of American partisanship | Noah Feldman
 How I fail at being disabled | Susan Robinson
 The human insights missing from big data | Tricia Wang
 Why our screens make us less happy | Adam Alter
 Can clouds buy us more time to solve climate change? | Kate Marvel
 How a handful of tech companies control billions of minds every day | Tristan Harris
 What rivers can tell us about the earth's history | Liz Hajek
 Why journalists have an obligation to challenge power (with English subtitles) | Jorge Ramos
 How we can face the future without fear
 Don't feel sorry for refugees -- believe in them | Luma Mufleh
 Lifesaving scientific tools made of paper | Manu Prakash
 A celebration of natural hair | Cheyenne Cochrane
 Why design should include everyone | SinÃ©ad Burke
 Why we need to imagine different futures | Anab Jain
 Doesn't everyone deserve a chance at a good life? | Jim Yong Kim
 Your brain hallucinates your conscious reality | Anil Seth
 Science didn't understand my kids' rare disease until I decided to study it | Sharon Terry
 "Awoo" | Sofi Tukker
 When I die
 How I built a jet suit | Richard Browning
 Why you should define your fears instead of your goals | Tim Ferriss
 12 truths I learned from life and writing | Anne Lamott
 What happens in your brain when you pay attention? | Mehdi Ordikhani-Seyedlar
 To understand autism
 Why glass towers are bad for city life -- and what we need instead | Justin Davidson
 How to see past your own perspective and find truth | Michael Patrick Lynch
 How to design a library that makes kids want to read | Michael Bierut
 Songs that bring history to life | Rhiannon Giddens
 No one should die because they live too far from a doctor | Raj Panjabi
 Am I not human? A call for criminal justice reform | Marlon Peterson
 The refugee crisis is a test of our character | David Miliband
 Don't fear intelligent machines. Work with them | Garry Kasparov
 How pollution is changing the ocean's chemistry | Triona McGrath
 How to find a wonderful idea | OK Go
 A secret weapon against Zika and other mosquito-borne diseases | Nina Fedoroff
 Why I speak up about living with epilepsy | Sitawa Wafula
 Poverty isn't a lack of character; it's a lack of cash | Rutger Bregman
 The trauma of systematic racism is killing Black women. A first step toward change...
 Why school should start later for teens | Wendy Troxel
 A climate solution where all sides can win | Ted Halstead
 What makes life worth living in the face of death | Lucy Kalanithi
 3 principles for creating safer AI | Stuart Russell
 How human noise affects ocean habitats | Kate Stafford
 The biology of our best and worst selves | Robert Sapolsky
 A tribute to nurses | Carolyn Jones
 A summer school kids actually want to attend | Karim Abouelnaga
 There's no shame in taking care of your mental health | Sangu Delle
 How (and why) Russia hacked the US election | Laura Galante
 This is what democracy looks like | Anthony D. Romero
 Behind the lies of Holocaust denial | Deborah Lipstadt
 Science in service to the public good | Siddhartha Roy
 On tennis
 What you can do to prevent Alzheimer's | Lisa Genova
 How fake news does real harm | Stephanie Busari
 How I learned to read -- and trade stocks -- in prison | Curtis "Wall Street" Carroll
 A doctor's case for medical marijuana | David Casarett
 A video game to cope with grief | Amy Green
 How radio telescopes show us unseen galaxies | Natasha Hurley-Walker
 We should all be feminists | Chimamanda Ngozi Adichie
 How do you build a sacred space? | Siamak Hariri
 Thoughts on humanity
 Poetry
 A simple birth kit for mothers in the developing world | Zubaida Bai
 An intergalactic guide to using a defibrillator | Todd Scott
 In praise of conflict | Jonathan Marks
 3 ways to plan for the (very) long term | Ari Wallach
 How we can find ourselves in data | Giorgia Lupi
 The future we're building -- and boring | Elon Musk
 How racism makes us sick | David R. Williams
 The conversation we're not having about digital child abuse (with subtitles) | SebastiÃ¡n Bortnik
 How to take a picture of a black hole | Katie Bouman
 Political common ground in a polarized United States | Gretchen Carlson
 Why the only future worth building includes everyone | Pope Francis
 Know your worth
 "Music for Wood and Strings" | SÅ Percussion
 A young poet tells the story of Darfur | Emtithal Mahmoud
 Addiction is a disease. We should treat it like one | Michael Botticelli
 How early life experience is written into DNA | Moshe Szyf
 What we don't know about mother's milk | Katie Hinde
 A plan to recycle the unrecyclable | Ashton Cofer
 3 ways to spot a bad statistic | Mona Chalabi
 Who would the rest of the world vote for in your country's election? | Simon Anholt
 Why civilians suffer more once a war is over | Margaret Bourdeaux
 Asking for help is a strength
 Lifelike simulations that make real-life surgery safer | Peter Weinstock
 Inside America's dead shopping malls | Dan Bell
 "Turceasca" | Silk Road Ensemble
 Should we simplify spelling? (with English subtitles) | Karina Galperin
 What young women believe about their own sexual pleasure | Peggy Orenstein
 Adventures of an asteroid hunter | Carrie Nugent
 A burial practice that nourishes the planet | Caitlin Doughty
 Beautiful new words to describe obscure emotions | John Koenig
 Why women should tell the stories of humanity | Jude Kelly
 How I'm fighting bias in algorithms | Joy Buolamwini
 To raise brave girls
 A scientific approach to the paranormal | Carrie Poppy
 "Rollercoaster" | Sara Ramirez
 Stories from a home for terminally ill children | Kathy Hull
 What I learned from 2
 This app makes it fun to pick up litter | Jeff Kirschner
 The data behind Hollywood's sexism | Stacy Smith
 A few ways to fix a government | Charity Wayua
 Smelfies
 How to practice safe sexting | Amy Adele Hasinoff
 A robot that eats pollution | Jonathan Rossiter
 The racial politics of time | Brittney Cooper
 Don't fear superintelligent AI | Grady Booch
 How jails extort the poor | Salil Dudani
 3 ways to fix a broken news industry | Lara Setrakian
 An electrifying acoustic guitar performance | Rodrigo y Gabriela
 How racism harms pregnant women -- and what can help | Miriam Zoila PÃ©rez
 What it's like to be a parent in a war zone | Aala El-Khani
 I grew up in the Westboro Baptist Church. Here's why I left | Megan Phelps-Roper
 4 ways to make a city more walkable | Jeff Speck
 New nanotech to detect cancer early | Joshua Smith
 The incredible inventions of intuitive AI | Maurice Conti
 My son was a Columbine shooter. This is my story | Sue Klebold
 What time is it on Mars? | Nagin Cox
 How to get better at the things you care about | Eduardo BriceÃ±o
 Why you should love statistics | Alan Smith
 Nationalism vs. globalism the new political divide | Yuval Noah Harari
 Help discover ancient ruins -- before it's too late | Sarah Parcak
 A young scientist's quest for clean water | Deepika Kurup
 What we don't know about Europe's Muslim kids | Deeyah Khan
 Where is cybercrime really coming from? | Caleb Barlow
 Buildings that blend nature and city | Jeanne Gang
 Our story of rape and reconciliation | Thordis Elva and Tom Stranger
 The ethical dilemma of designer babies | Paul Knoepfler
 How to have better political conversations | Robb Willer
 Art made of the air we breathe | Emily Parsons-Lord
 How to gain control of your free time | Laura Vanderkam
 Will automation take away all our jobs? | David Autor
 To solve old problems
 If a story moves you
 Meet the inventor of the electronic spreadsheet | Dan Bricklin
 The next step in nanotechnology | George Tulevski
 Want kids to learn well? Feed them well | Sam Kass
 A better way to talk about love | Mandy Len Catron
 The lies we tell pregnant women | Sofia Jawed-Wessel
 The world doesn't need more nuclear weapons | Erika Gregory
 Are you a giver or a taker? | Adam Grant
 It's time to reclaim religion | Sharon Brous
 How we explore unanswered questions in physics | James Beacham
 Why Earth may someday look like Mars | Anjali Tripathi
 How online abuse of women has spiraled out of control | Ashley Judd
 What happens when you have a disease doctors can't diagnose | Jennifer Brea
 How students of color confront impostor syndrome | Dena Simmons
 Could a drug prevent depression and PTSD? | Rebecca Brachman
 How AI can bring on a second Industrial Revolution | Kevin Kelly
 Why curiosity is the key to science and medicine | Kevin B. Jones
 Do kids think of sperm donors as family? | Veerle Provoost
 Say your truths and seek them in others | Elizabeth Lesser
 What I learned from 100 days of rejection | Jia Jiang
 Let's clean up the space junk orbiting Earth | Natalie Panek
 A queer vision of love and marriage | Tiq Milan and Kim Katrin Milan
 4 larger-than-life lessons from soap operas | Kate Adams
 How an old loop of railroads is changing the face of a city | Ryan Gravel
 What will you tell your daughters about 2016? | Chinaka Hodge
 Maps that show us who we are (not just where we are) | Danny Dorling
 The top 10 TED Talks of 2016
 An interview with the founders of Black Lives Matter | Alicia Garza
 We need nuclear power to solve climate change | Joe Lassiter
 How to speak up for yourself | Adam Galinsky
 What will humans look like in 100 years? | Juan Enriquez
 A political party for women's equality | Sandi Toksvig
 Math is the hidden secret to understanding the world | Roger Antonsen
 Help for kids the education system ignores | Victor Rios
 The playful wonderland behind great inventions | Steven Johnson
 How the blockchain will radically transform the economy | Bettina Warburg
 The urgency of intersectionality | KimberlÃ© Crenshaw
 We train soldiers for war. Let's train them to come home
 Islamophobia killed my brother. Let's end the hate | Suzanne Barakat
 Easy DIY projects for kid engineers | Fawn Qiu
 It's time for women to run for office | Halla TÃ³masdÃ³ttir
 4 ways to build a human company in the age of machines | Tim Leberecht
 Your company's data could help end world hunger | Mallory Freeman
 How America's public schools keep kids in poverty | Kandice Sumner
 Your smartphone is a civil rights issue | Christopher Soghoian
 Enough with the fear of fat | Kelli Jean Drinkwater
 "St. James Infirmary Blues" | Silk Road Ensemble + Rhiannon Giddens
 Everything you hear on film is a lie | Tasos Frantzolas
 The unexpected challenges of a country's first election | Philippa Neave
 How loss helped one artist find beauty in imperfection | Alyssa Monks
 How the US should use its superpower status | Ian Bremmer
 What a driverless world could look like | Wanis Kabbaj
 Inside the mind of a former radical jihadist | Manwar Ali
 Machine intelligence makes human morals more important | Zeynep Tufekci
 A temporary tattoo that brings hospital care to the home | Todd Coleman
 Can a divided America heal? | Jonathan Haidt
 We've stopped trusting institutions and started trusting strangers | Rachel Botsman
 Ballroom dance that breaks gender roles | Trevor Copp and Jeff Fox
 5 ways to lead in an era of constant change | Jim Hemerling
 Art can heal PTSD's invisible wounds | Melissa Walker
 The beauty of what we'll never know | Pico Iyer
 How we talk about sexual assault online | Ione Wells
 4 reasons to learn a new language | John McWhorter
 What reality are you creating for yourself? | Isaac Lidsky
 We can start winning the war against cancer | Adam de la Zerda
 Immigrant voices make democracy stronger | Sayu Bhojwani
 What you need to know about CRISPR | Ellen Jorgensen
 Technology hasn't changed love. Here's why | Helen Fisher
 Can we build AI without losing control over it? | Sam Harris
 How we're harnessing nature's hidden superpowers | Oded Shoseyov
 America's forgotten working class | J.D. Vance
 We can fight terror without sacrificing our rights | Rebecca MacKinnon
 The era of personal DNA testing is here | Sebastian Kraves
 Why open a school? To close a prison | Nadia Lopez
 Why you should know how much your coworkers get paid | David Burkus
 There's no such thing as not voting | Eric Liu
 Why some people are more altruistic than others | Abigail Marsh
 Architecture that's built to heal | Michael Murphy
 How fear of nuclear power is hurting the environment | Michael Shellenberger
 How to raise successful kids -- without over-parenting | Julie Lythcott-Haims
 The future of money | Neha Narula
 A new way to heal hearts without surgery | Franz Freudenthal
 Why helmets don't prevent concussions -- and what might | David Camarillo
 The new American Dream | Courtney Martin
 The agony of trying to unsubscribe | James Veitch
 Let's teach for mastery -- not test scores | Sal Khan
 The risky politics of progress | Jonathan Tepperman
 Why you should talk to strangers | Kio Stark
 Bring on the female superheroes! | Christopher Bell
 How women wage conflict without violence | Julia Bacha
 The spellbinding art of human anatomy | Vanessa Ruiz
 How the blockchain is changing money and business | Don Tapscott
 The deadly legacy of cluster bombs | Laura Boushnak
 What we can do to die well | Timothy Ihrig
 The next manufacturing revolution is here | Olivier Scalabre
 A letter to all who have lost in this era | Anand Giridharadas
 How Argentina's blind soccer team became champions (with English subtitles) | Gonzalo VilariÃ±o
 Hunting for Peru's lost civilizations -- with satellites | Sarah Parcak
 3 moons and a planet that could have alien life | James Green
 A small country with big ideas to get rid of fossil fuels | Monica Araya
 What a planet needs to sustain life | Dave Brain
 How Africa can keep rising | Ngozi Okonjo-Iweala
 The taboo secret to better health | Molly Winter
 How to build a business that lasts 100 years | Martin Reeves
 The jobs we'll lose to machines -- and the ones we won't | Anthony Goldbloom
 How trees talk to each other | Suzanne Simard
 A new way to study the brain's invisible secrets | Ed Boyden
 How the Panama Papers journalists broke the biggest leak in history | Gerard Ryle
 A project of peace
 A forgotten Space Age technology could change how we grow food | Lisa Dyson
 My love letter to cosplay | Adam Savage
 How to grow a forest in your backyard | Shubhendu Sharma
 Nature is everywhere -- we just need to learn to see it | Emma Marris
 3 lessons on success from an Arab businesswoman | Leila Hoteit
 When we design for disability
 Why I keep speaking up
 Why Brexit happened -- and what to do next | Alexander Betts
 How Syria's architecture laid the foundation for brutal war | Marwa Al-Sabouni
 "Redemption Song" | John Legend
 Clues to prehistoric times
 Why you think you're right -- even if you're wrong | Julia Galef
 How computers are learning to be creative | Blaise AgÃ¼era y Arcas
 What can we learn from shortcuts? | Tom Hulme
 How to fix a broken education system ... without any more money | Seema Bansal
 Who are you
 I survived a terrorist attack. Here's what I learned | Gill Hicks
 Why genetic research must be more diverse | Keolu Fox
 How better tech could protect us from distraction | Tristan Harris
 How a blind astronomer found a way to hear the stars | Wanda Diaz Merced
 The birth of virtual reality as an art form | Chris Milk
 This scientist makes ears out of apples | Andrew Pelling
 The secret to effective nonviolent resistance | Jamila Raqib
 3 reasons why we can win the fight against poverty | Andrew Youn
 A highly scientific taxonomy of haters | Negin Farsad
 How college loans exploit students for profit | Sajay Samuel
 The Chinese zodiac
 Every piece of art you've ever wanted to see -- up close and searchable | Amit Sood
 What's so sexy about math? | CÃ©dric Villani
 The passing of time
 Ideas worth dating
 An entertainment icon on living a life of meaning | Norman Lear
 The real harm of the global arms trade | Samantha Nutt
 A smarter
 My journey from Marine to actor | Adam Driver
 How barbershops can keep men healthy | Joseph Ravenell
 Drawings that show the beauty and fragility of Earth | Zaria Forman
 Your words may predict your future mental health | Mariano Sigman
 The beauty of being a misfit | Lidia Yuknavitch
 How free is our freedom of the press? | Trevor Timm
 The laws that sex workers really want | Juno Mac
 Our lonely society makes it hard to come home from war | Sebastian Junger
 Good news in the fight against pancreatic cancer | Laura Indolfi
 Can you really tell if a kid is lying? | Kang Lee
 This tiny particle could roam your body to find tumors | Sangeeta Bhatia
 An artist's unflinching look at racial violence | Sanford Biggers
 This is your brain on communication | Uri Hasson
 Gene editing can now change an entire species -- forever | Jennifer Kahn
 This virtual lab will revolutionize science class | Michael Bodekaer
 A sci-fi vision of love from a 318-year-old hologram | Monica Byrne
 The dream we haven't dared to dream | Dan Pallotta
 Pirates
 How my son's short life made a lasting difference | Sarah Gray
 How to read the genome and build a human being | Riccardo Sabatini
 A provocative way to finance the fight against climate change | Michael Metcalfe
 Why I put myself in danger to tell the stories of Gaza | Ameera Harouda
 Insightful human portraits made from data | R. Luke DuBois
 A smart new business loan for people with no credit | Shivani Siroya
 Hunting for dinosaurs showed me our place in the universe | Kenneth Lacovara
 A taboo-free way to talk about periods | Aditi Gupta
 We can reprogram life. How to do it wisely | Juan Enriquez
 Wisdom from great writers on every year of life | Joshua Prager
 The inside story of the Paris climate agreement | Christiana Figueres
 The nit-picking glory of The New Yorker's Comma Queen | Mary Norris
 The unexpected benefit of celebrating failure | Astro Teller
 A new superweapon in the fight against cancer | Paula Hammond
 Your kids might live on Mars. Here's how they'll survive | Stephen Petranek
 What does it mean to be a citizen of the world? | Hugh Evans
 The mind behind Linux | Linus Torvalds
 The Panama Papers exposed a huge global problem. What's next? | Robert Palmer
 The most mysterious star in the universe | Tabetha Boyajian
 The magic ingredient that brings Pixar movies to life | Danielle Feinberg
 How megacities are changing the map of the world | Parag Khanna
 How a start-up in the White House is changing business as usual | Haley Van Dyck
 Two reasons companies fail -- and how to avoid them | Knut Haanaes
 How humans could evolve to survive in space | Lisa Nip
 Why gun violence can't be our new normal | Dan Gross
 TED's secret to great public speaking | Chris Anderson
 The beauty of human skin in every color | AngÃ©lica Dass
 The dawn of the age of holograms | Alex Kipman
 How young Africans found a voice on Twitter | Siyanda Mohutsiwa
 You have no idea where camels really come from | Latif Nasser
 How to get back to work after a career break | Carol Fishman Cohen
 A prosecutor's vision for a better justice system | Adam Foss
 A glimpse of the future through an augmented reality headset | Meron Gribetz
 A conservative's plea Let's work together | Arthur Brooks
 The reporting system that sexual assault survivors want | Jessica Ladd
 How Airbnb designs for trust | Joe Gebbia
 The gospel of doubt | Casey Gerald
 This country isn't just carbon neutral â€” it's carbon negative | Tshering Tobgay
 Simple hacks for life with Parkinson's | Mileha Soneji
 The secrets I find on the mysterious ocean floor | Laura Robinson
 Teach girls bravery
 Uber's plan to get more people into fewer cars | Travis Kalanick
 Our refugee system is failing. Here's how we can fix it | Alexander Betts
 What really happens when you mix medications? | Russ Altman
 How yarn bombing grew into a worldwide movement | Magda Sayeg
 Dive into an ocean photographer's world | Thomas Peschak
 Why we need gender-neutral bathrooms | Ivan Coyote
 Why your doctor should care about social justice | Mary Bassett
 How to make a profit while making a difference | Audrey Choi
 What it's like to be a Muslim in America | Dalia Mogahed
 The case for optimism on climate change | Al Gore
 Meet the dazzling flying machines of the future | Raffaello D'Andrea
 What the discovery of gravitational waves means | Allan Adams
 My year of saying yes to everything | Shonda Rhimes
 10 ways to have a better conversation | Celeste Headlee
 The brain may be able to repair itself -- with help | Jocelyne Bloch
 The problem with race-based medicine | Dorothy Roberts
 The case for fish farming | Mike Velings
 How I'm discovering the secrets of ancient texts | Gregory Heyworth
 Shape-shifting tech will change work as we know it | Sean Follmer
 Economic growth has stalled. Let's fix it | Dambisa Moyo
 Special Olympics let me be myself â€” a champion | Matthew Williams
 How we'll fight the next deadly virus | Pardis Sabeti
 A simple way to break a bad habit | Judson Brewer
 How I found a mythical boiling river in the Amazon | AndrÃ©s Ruzo
 A delightful way to teach kids about computers | Linda Liukas
 Our campaign to ban plastic bags in Bali | Melati and Isabel Wijsen
 A robot that runs and swims like a salamander | Auke Ijspeert
 Should you be able to patent a human gene? | Tania Simoncelli
 Glow-in-the-dark sharks and other stunning sea creatures | David Gruber
 Capitalism will eat democracy -- unless we speak up | Yanis Varoufakis
 The unheard story behind the Sistine Chapel | Elizabeth Lev
 How I turned a deadly plant into a thriving business | Achenyo Idachaba
 Can a computer write poetry? | Oscar Schwartz
 How we can make crops survive without water | Jill Farrant
 The mysterious world of underwater caves | Jill Heinerth
 Why great architecture should tell a story | Ole Scheeren
 Let's design social media that drives real change | Wael Ghonim
 I love being a police officer
 How frustration can make us more creative | Tim Harford
 This is what happens when you reply to spam email | James Veitch
 4 ways we can avoid a catastrophic drought | David Sedlak
 How we'll find life on other planets | Aomawa Shields
 How to use data to make a hit TV show | Sebastian Wernicke
 Have we reached the end of physics? | Harry Cliff
 What makes a good life? Lessons from the longest study on happiness | Robert Waldinger
 An underwater art museum
 Governments don't understand cyber warfare. We need hackers | Rodrigo Bijou
 Refugees have the right to be protected | AntÃ³nio Guterres
 A hilarious celebration of lifelong female friendship | Jane Fonda and Lily Tomlin
 What happens when a city runs out of room for its dead | Alison Killing
 Let's not use Mars as a backup planet | Lucianne Walkowicz
 The four fish we're overeating -- and what to eat instead | Paul Greenberg
 A beatboxing lesson from a father-daughter duo | Nicole Paris and Ed Cage
 How germs travel on planes -- and how we can stop them | Raymond Wang
 Forget Shopping. Soon You'll Download Your New Clothes | Danit Peleg | TED Talks
 The Untapped Genius That Could Change Science for the Better | Jedidah Isler | TED Talks
 The Exhilarating Peace of Freediving | Guillaume NÃ©ry | TED Talks
 How New Technology Helps Blind People Explore the World | Chieko Asakawa | TED Talks
 How America Fails New Parents â€” and Their Babies | Jessica Shortall | TED Talks
 The Year in Ideas TED Talks of 2015
 How we're growing baby corals to rebuild reefs | Kristen Marhaver
 An Art Made of Trust
 Why the best hire might not have the perfect resume | Regina Hartley
 My year reading a book from every country in the world | Ann Morgan
 Why are these 32 symbols found in caves all over Europe | Genevieve von Petzinger
 What are animals thinking and feeling? | Carl Safina
 My Country Will Be Underwater Soon -- Unless We Work Together | Anote Tong | TED Talks
 The Future of News? Virtual Reality | Nonny de la PeÃ±a | TED Talks
 The secret sneaker market â€” and why it matters | Josh Luber
 The Chilling Aftershock of a Brush with Death | Jean-Paul Mari | TED Talks
 How I'm Working for Change Inside My Church | Chelsea Shields | TED Talks
 The moral bias behind your search results | Andreas EkstrÃ¶m
 This Is What LGBT Life Is Like Around the World | Jenni Chang and Lisa Dazols | TED Talks
 A Musical Escape Into a World of Light and Color | Kaki King | TED Talks
 Forget Wi-Fi. Meet the new Li-Fi Internet | Harald Haas
 The coolest animal you know nothing about ... and how we can save it | PatrÃ­cia Medici
 A boat carrying 500 refugees sunk at sea. The story of two survivors | Melissa Fleming
 The Heartbreaking Text That Inspired a Crisis Help Line | Nancy Lublin | TED Talks
 How to stay calm when you know you'll be stressed | Daniel Levitin
 Art That Lets You Talk Back to NSA Spies | Mathias Jud | TED Talks
 The enchanting music of sign language | Christine Sun Kim
